latitude,longitude,state,grid_key,acq_date,acq_time,model_predicted_class,prediction_confidence,heuristic_label,risk_score,risk_level,risk_score_api,frp,brightness,bright_t31,bright_ti4,bright_ti5,dist_industrial_zone_km,dist_power_plant_km,dist_quarry_km,dist_brick_kiln_km,dist_oil_gas_km,dist_waste_site_km,landcover_name,landcover_class,population_density,recurrence_score,recency_score,trend_score,stability_score,persistence_confidence,site_detection_count,top_shap_feature,top_shap_impact,risk_explanation,prob_Agricultural_Burning,prob_Brick_Kiln,prob_Industrial,prob_Mining_Extraction,prob_Other_Unknown,prob_Waste_Landfill,prob_Wildfire,scan,track,satellite,instrument,confidence,version,daynight,confidence_numeric,landcover_code,ndvi,nbr,sar_backscatter_delta,type,label_confidence
10.43844,77.555,TamilNadu,1044_7756,2026-09-01,1947.0,Other/Unknown,0.9999,Other/Unknown,11.3,Low,0.35,0.47,304.16,290.23,304.16,290.23,4.355,15.111,8.956,92.698,63.273,5.645,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.3565,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 8/100. Overall risk: 11/100.,0.0,0.0,1e-04,0.0,0.9999,0.0,0.0,0.32,0.55,N21,VIIRS,n,2.0NRT,N,50.0,,,,,0,n/a
10.44864,79.65552,TamilNadu,1045_7966,2026-08-28,828.0,Other/Unknown,1.0,Other/Unknown,15.1,Low,0.35,3.77,335.25,294.59,335.25,294.59,5.495,24.732,16.078,96.29,34.186,23.479,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.4016,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 34/100. Overall risk: 15/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.55,0.51,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
10.51079,79.66752,TamilNadu,1051_7967,2026-08-29,809.0,Other/Unknown,1.0,Other/Unknown,16.7,Low,0.35,6.97,337.73,302.68,337.73,302.68,4.568,24.044,10.378,94.408,27.744,25.588,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.3967,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 45/100. Overall risk: 17/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.38,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
10.53212,78.34332,TamilNadu,1053_7834,2026-08-28,828.0,Other/Unknown,0.9999,Other/Unknown,17.3,Low,0.35,4.64,334.17,295.99,334.17,295.99,5.7,11.735,23.78,65.321,101.272,51.505,Tree cover,10.0,219.30686950683597,0.13070098600339122,8.935866365058843e-24,,,0.5,3.0,dist_industrial_zone_km,1.5128,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 37/100. Overall risk: 17/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.45,0.47,N21,VIIRS,n,2.0NRT,D,50.0,10.0,,,,0,n/a
10.53153,78.34397,TamilNadu,1053_7834,2026-08-28,828.0,Other/Unknown,0.9999,Other/Unknown,29.3,Medium,0.35,2.69,332.5,295.32,332.5,295.32,5.748,11.81,23.825,65.3,101.366,51.486,Tree cover,10.0,219.30686950683597,0.20715616162265582,1.0,,,0.5,3.0,dist_industrial_zone_km,1.5592,Classified as Other/Unknown (100% confidence). moderately persistent (persistence score 60/100). Intensity score 28/100. Overall risk: 29/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.45,0.47,N21,VIIRS,n,2.0NRT,D,50.0,10.0,,,,0,n/a
10.52717,79.34861,TamilNadu,1053_7935,2026-08-29,809.0,Other/Unknown,0.9998,Other/Unknown,14.5,Low,0.35,2.96,335.93,305.39,335.93,305.39,10.677,11.162,43.717,63.133,36.969,47.154,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.1826,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 30/100. Overall risk: 14/100.,1e-04,0.0,1e-04,0.0,0.9998,0.0,0.0,0.42,0.38,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
10.76591,78.63389,TamilNadu,1077_7863,2026-09-02,837.0,Other/Unknown,0.9999,Other/Unknown,15.5,Low,0.35,4.46,332.65,299.67,332.65,299.67,2.219,4.423,14.26,24.627,105.417,10.807,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.3427,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 37/100. Overall risk: 16/100.,0.0,0.0,1e-04,0.0,0.9999,0.0,0.0,0.61,0.53,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
10.77498,78.64761,TamilNadu,1077_7865,2026-09-01,714.0,Other/Unknown,0.9999,Other/Unknown,25.9,Medium,0.371,9.28,339.35,298.22,339.35,298.22,3.976,4.608,16.048,22.834,103.938,9.039,Cropland,40.0,629.5093994140625,0.3921029580101737,5.646484220439205e-09,0.5421497278567008,0.3904201328503162,1.0,8.0,dist_industrial_zone_km,1.0736,Classified as Other/Unknown (100% confidence). moderately persistent (persistence score 33/100). Intensity score 50/100. Overall risk: 26/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.64,0.72,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
10.77575,78.88298,TamilNadu,1078_7888,2026-08-25,2019.0,Industrial,0.9999,Industrial,29.5,Medium,0.75,1.6,305.38,283.61,305.38,283.61,0.946,10.181,8.579,9.163,78.241,17.551,Cropland,40.0,452.9272766113281,0.13070098600339122,1.8201022752267257e-09,,,0.5,2.0,dist_industrial_zone_km,4.2089,Classified as Industrial (100% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 21/100. Overall risk: 30/100.,1e-04,0.0,0.9999,0.0,0.0,0.0,0.0,0.39,0.36,N21,VIIRS,n,2.0NRT,N,50.0,40.0,,,,0,medium
10.8313,78.8009,TamilNadu,1083_7880,2026-09-01,854.0,Other/Unknown,0.9999,Other/Unknown,17.7,Low,0.35,5.56,336.72,294.99,336.72,294.99,6.103,9.281,6.354,5.406,87.607,8.837,Tree cover,10.0,451.4962768554688,0.13070098600339122,3.7823449650604067e-10,,,0.5,2.0,dist_industrial_zone_km,0.9744,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 41/100. Overall risk: 18/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.66,0.73,N21,VIIRS,n,2.0NRT,D,50.0,10.0,,,,0,n/a
10.85161,78.75615,TamilNadu,1085_7876,2026-08-29,809.0,Industrial,1.0,Industrial,38.0,Medium,0.75,8.61,340.1,307.17,340.1,307.17,0.82,12.171,10.09,8.727,92.713,6.295,Grassland,30.0,487.8343200683594,0.13070098600339122,6.288056942486161e-10,,,0.5,2.0,dist_industrial_zone_km,4.1385,Classified as Industrial (100% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 49/100. Overall risk: 38/100.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41,0.37,N21,VIIRS,n,2.0NRT,D,50.0,30.0,,,,0,medium
10.86781,77.73611,TamilNadu,1087_7774,2026-09-02,837.0,Industrial,1.0,Industrial,28.7,Medium,0.75,2.79,336.59,302.33,336.59,302.33,9.059,1.756,8.53,100.191,25.355,34.642,,,,0.0,0.0,,,0.5,2.0,dist_power_plant_km,7.7703,Classified as Industrial (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 29/100. Overall risk: 29/100.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.53,0.5,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,medium
10.86859,77.7392,TamilNadu,1087_7774,2026-09-02,837.0,Industrial,1.0,Industrial,61.2,High,0.75,6.27,338.51,301.4,338.51,301.4,9.133,1.813,8.271,100.468,25.57,34.345,,,,0.13070098600339122,1.0,,,0.5,2.0,dist_power_plant_km,7.7948,Classified as Industrial (100% confidence). moderately persistent (persistence score 57/100). Intensity score 43/100. Overall risk: 61/100.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.53,0.5,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,medium
10.87824,77.60252,TamilNadu,1088_7760,2026-08-27,848.0,Other/Unknown,1.0,Other/Unknown,13.2,Low,0.35,1.69,332.96,294.52,332.96,294.52,8.834,5.442,20.278,86.441,15.371,45.401,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.372,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 21/100. Overall risk: 13/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.62,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
10.93779,78.20586,TamilNadu,1094_7821,2026-08-29,809.0,Agricultural Burning,0.8483,Other/Unknown,9.2,Low,0.335,4.0,337.13,302.71,337.13,302.71,3.264,8.502,21.746,69.092,71.74,29.342,Cropland,40.0,421.7097778320313,0.13070098600339122,7.495948007686355e-17,,,0.5,2.0,recurrence_score,1.5383,Classified as Agricultural Burning (85% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 35/100. Overall risk: 9/100.,0.8483,0.0,0.0,0.0,0.1516,0.0,0.0,0.39,0.36,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
10.93597,78.47108,TamilNadu,1094_7847,2026-08-29,809.0,Agricultural Burning,0.8491,Other/Unknown,9.9,Low,0.335,6.07,339.62,301.67,339.62,301.67,9.568,10.968,23.279,40.418,100.587,31.36,Cropland,40.0,339.2492980957031,0.13070098600339122,1.8289464680746746e-23,,,0.5,4.0,recurrence_score,1.5387,Classified as Agricultural Burning (85% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 42/100. Overall risk: 10/100.,0.8491,0.0,0.0,0.0,0.1508,0.0,0.0,0.4,0.37,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
10.93692,78.46759,TamilNadu,1094_7847,2026-08-29,2044.0,Other/Unknown,0.5958,Other/Unknown,25.5,Medium,0.31,2.94,317.71,290.06,317.71,290.06,9.335,10.904,23.255,40.812,100.199,31.746,Cropland,40.0,339.2492980957031,0.20715616162265582,1.0,,,0.5,4.0,dist_industrial_zone_km,0.9998,Classified as Other/Unknown (60% confidence). moderately persistent (persistence score 60/100). Intensity score 30/100. Overall risk: 26/100.,0.4041,0.0,0.0,0.0,0.5958,0.0,0.0,0.5,0.49,N21,VIIRS,n,2.0NRT,N,50.0,40.0,,,,0,n/a
10.94139,78.46842,TamilNadu,1094_7847,2026-08-29,2044.0,Other/Unknown,1.0,Other/Unknown,28.6,Medium,0.35,4.22,329.14,289.92,329.14,289.92,9.726,10.721,23.755,40.821,100.251,31.901,Cropland,40.0,339.2492980957031,0.26140197200678245,1.0,0.5004583332049576,0.4142135623730951,1.0,4.0,dist_industrial_zone_km,1.151,Classified as Other/Unknown (100% confidence). moderately persistent (persistence score 53/100). Intensity score 36/100. Overall risk: 29/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.49,N21,VIIRS,n,2.0NRT,N,50.0,40.0,,,,0,n/a
10.95573,78.87653,TamilNadu,1096_7888,2026-08-29,809.0,Other/Unknown,0.9999,Other/Unknown,20.4,Low,0.35,9.96,347.12,305.99,347.12,305.99,6.895,22.91,6.284,8.23,82.093,23.636,Tree cover,10.0,250.5511932373047,0.20715616162265582,3.318856351600364e-09,,,0.5,3.0,dist_industrial_zone_km,1.039,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 10/100). Intensity score 52/100. Overall risk: 20/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.41,0.37,N21,VIIRS,n,2.0NRT,D,50.0,10.0,,,,0,n/a
10.97389,77.72894,TamilNadu,1097_7773,2026-08-27,848.0,Industrial,1.0,Industrial,34.6,Medium,0.75,4.69,330.9,295.82,330.9,295.82,0.624,3.21,7.351,95.429,19.616,28.14,Grassland,30.0,230.58154296875,0.13070098600339122,1.3275425406401458e-08,,,0.5,2.0,dist_industrial_zone_km,4.4129,Classified as Industrial (100% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 38/100. Overall risk: 35/100.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44,0.62,N21,VIIRS,n,2.0NRT,D,50.0,30.0,,,,0,medium
10.98005,79.4278,TamilNadu,1098_7943,2026-08-29,809.0,Agricultural Burning,0.5943,Other/Unknown,7.0,Low,0.309,2.61,332.11,293.0,332.11,293.0,4.602,14.47,23.804,60.192,31.581,36.324,Cropland,40.0,1506.8765869140625,0.13070098600339122,6.690395166333765e-08,,,0.5,2.0,recurrence_score,1.5228,Classified as Agricultural Burning (59% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 28/100. Overall risk: 7/100.,0.5943,0.0,1e-04,0.0,0.4056,0.0,0.0,0.43,0.38,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
10.99405,79.23645,TamilNadu,1099_7924,2026-09-01,1947.0,Other/Unknown,1.0,Other/Unknown,16.8,Low,0.35,7.05,332.49,290.43,332.49,290.43,7.397,7.513,6.467,40.276,47.916,18.609,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.3131,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 45/100. Overall risk: 17/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.49,N21,VIIRS,n,2.0NRT,N,50.0,,,,,0,n/a
11.0839,78.75246,TamilNadu,1108_7875,2026-08-31,2008.0,Other/Unknown,1.0,Other/Unknown,12.3,Low,0.35,1.03,309.64,293.1,309.64,293.1,15.098,6.118,5.694,25.427,99.542,31.264,,,,0.0,0.0,,,0.5,2.0,landcover_code,0.8801,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 15/100. Overall risk: 12/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.38,N21,VIIRS,n,2.0NRT,N,50.0,,,,,0,n/a
11.08219,78.75288,TamilNadu,1108_7875,2026-08-31,2008.0,Other/Unknown,1.0,Other/Unknown,26.7,Medium,0.35,1.2,315.78,292.3,315.78,292.3,15.175,6.104,5.795,25.235,99.429,31.08,,,,0.13070098600339122,1.0,,,0.5,2.0,landcover_code,0.8423,Classified as Other/Unknown (100% confidence). moderately persistent (persistence score 57/100). Intensity score 17/100. Overall risk: 27/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.38,N21,VIIRS,n,2.0NRT,N,50.0,,,,,0,n/a
11.09134,76.9546,TamilNadu,1109_7695,2026-08-28,830.0,Agricultural Burning,0.92,Other/Unknown,10.0,Low,0.342,5.04,332.31,299.78,332.31,299.78,3.786,6.024,17.535,15.899,65.916,34.833,Cropland,40.0,1415.6087646484375,0.13070098600339122,8.342559047449706e-21,,,0.5,2.0,recurrence_score,1.5397,Classified as Agricultural Burning (92% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 39/100. Overall risk: 10/100.,0.92,0.0,0.0,0.0,0.08,0.0,0.0,0.56,0.43,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
11.12129,78.68881,TamilNadu,1112_7869,2026-08-29,809.0,Industrial,1.0,Industrial,51.7,High,0.753,7.72,340.11,305.97,340.11,305.97,17.345,0.086,11.065,32.406,107.541,35.496,Built-up,50.0,373.1180114746094,0.4976250423777936,2.5740133225317655e-09,0.5051728923505955,0.3512568894346523,1.0,14.0,dist_power_plant_km,8.2327,Classified as Industrial (100% confidence). moderately persistent (persistence score 35/100). Intensity score 47/100. Overall risk: 52/100.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41,0.37,N21,VIIRS,n,2.0NRT,D,50.0,50.0,,,,0,medium
11.15095,78.03052,TamilNadu,1115_7803,2026-09-01,714.0,Other/Unknown,0.9999,Other/Unknown,28.6,Medium,0.413,14.18,334.43,293.33,334.43,293.33,3.53,8.054,10.933,93.264,54.547,3.53,Tree cover,10.0,1561.4364013671875,0.303478291430754,8.689546878792415e-10,0.6257436987079079,0.8460554159305499,1.0,6.0,dist_industrial_zone_km,1.5842,Classified as Other/Unknown (100% confidence). moderately persistent (persistence score 39/100). Intensity score 59/100. Overall risk: 29/100.,0.0,0.0,1e-04,0.0,0.9999,0.0,0.0,0.7,0.75,N21,VIIRS,n,2.0NRT,D,50.0,10.0,,,,0,n/a
11.14715,78.03418,TamilNadu,1115_7803,2026-09-01,714.0,Other/Unknown,1.0,Other/Unknown,31.3,Medium,0.368,8.84,342.27,292.94,342.27,292.94,3.309,8.408,10.897,92.746,54.808,3.403,Tree cover,10.0,1561.4364013671875,0.337857147626047,1.0,0.5359876620598939,0.35060724484893113,1.0,6.0,dist_industrial_zone_km,1.6182,Classified as Other/Unknown (100% confidence). moderately persistent (persistence score 55/100). Intensity score 50/100. Overall risk: 31/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.75,N21,VIIRS,n,2.0NRT,D,50.0,10.0,,,,0,n/a
11.16639,78.01994,TamilNadu,1117_7802,2026-08-28,828.0,Other/Unknown,1.0,Other/Unknown,22.7,Low,0.338,3.13,337.01,299.49,337.01,299.49,5.036,6.743,11.625,94.937,53.98,4.827,Cropland,40.0,522.0392456054688,0.4341792774341453,4.876843294224836e-10,0.4766004387281731,0.34049444620681785,1.0,10.0,dist_industrial_zone_km,1.0505,Classified as Other/Unknown (100% confidence). moderately persistent (persistence score 32/100). Intensity score 31/100. Overall risk: 23/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44,0.46,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
11.17819,77.71023,TamilNadu,1118_7771,2026-09-02,837.0,Agricultural Burning,0.7921,Other/Unknown,9.0,Low,0.329,4.45,331.93,298.86,331.93,298.86,5.37,17.312,12.503,89.467,25.624,28.664,Cropland,40.0,777.2516479492188,0.13070098600339122,1.5710530533030778e-13,,,0.5,2.0,recurrence_score,1.5389,Classified as Agricultural Burning (79% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 37/100. Overall risk: 9/100.,0.7921,0.0,0.0,0.0,0.2079,0.0,0.0,0.53,0.5,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
11.18236,79.10169,TamilNadu,1118_7910,2026-08-30,2025.0,Industrial,1.0,Industrial,46.5,Medium,0.75,1.27,308.16,286.73,308.16,286.73,0.978,32.511,4.974,40.867,72.425,33.523,Cropland,40.0,2757.265625,0.7413915852262982,8.11259423209053e-07,0.49901250128395375,0.2579768280889252,1.0,51.0,dist_industrial_zone_km,4.2218,Classified as Industrial (100% confidence). moderately persistent (persistence score 42/100). Intensity score 18/100. Overall risk: 46/100.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44,0.38,N21,VIIRS,n,2.0NRT,N,50.0,40.0,,,,0,medium
11.23065,78.08495,TamilNadu,1123_7808,2026-09-01,714.0,Other/Unknown,1.0,Other/Unknown,16.0,Low,0.35,5.38,331.82,295.11,331.82,295.11,4.763,4.528,9.887,91.253,63.172,14.189,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.3105,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 40/100. Overall risk: 16/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.69,0.74,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
11.23093,78.85033,TamilNadu,1123_7885,2026-08-28,828.0,Other/Unknown,0.9997,Other/Unknown,14.9,Low,0.35,1.73,335.32,296.68,335.32,296.68,4.083,21.34,3.81,38.962,97.583,48.183,Built-up,50.0,1028.1829833984375,0.13070098600339122,2.4772819761717004e-08,,,0.5,2.0,dist_industrial_zone_km,0.8743,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 22/100. Overall risk: 15/100.,0.0003,0.0,0.0,0.0,0.9997,0.0,0.0,0.49,0.49,N21,VIIRS,n,2.0NRT,D,50.0,50.0,,,,0,n/a
